NO2_lag1,NO2
1.8877201e-05,2.569413e-05
2.569413e-05,2.4837642e-05
2.4837642e-05,3.7413545e-05
3.7413545e-05,3.5852983e-05
3.5852983e-05,3.5867226e-05
3.5867226e-05,4.9556256e-05
4.9556256e-05,4.146642e-05
4.146642e-05,5.167837e-05
5.167837e-05,4.4416836e-05
4.4416836e-05,5.3612206e-05
5.3612206e-05,4.50915415e-05
4.50915415e-05,3.6570877e-05
3.6570877e-05,1.9686786e-05
1.9686786e-05,3.1314168e-05
3.1314168e-05,3.3104858e-05
3.3104858e-05,2.959444e-05
2.959444e-05,3.0843574e-05
3.0843574e-05,2.9331775e-05
2.9331775e-05,2.6162203e-05
2.6162203e-05,2.9408218e-05
2.9408218e-05,2.4816798e-05
2.4816798e-05,5.1198433e-05
5.1198433e-05,4.9148104e-05
4.9148104e-05,4.8166465e-05
4.8166465e-05,4.838561e-05
4.838561e-05,3.3776836e-05
3.3776836e-05,3.38531155e-05
3.38531155e-05,3.3929395e-05
3.3929395e-05,3.3270655e-05
3.3270655e-05,2.8560837e-05
2.8560837e-05,2.7758231e-05
2.7758231e-05,1.4790267e-05
1.4790267e-05,1.7322824999999998e-05
1.7322824999999998e-05,1.9855383e-05
1.9855383e-05,3.345119e-05
3.345119e-05,5.5216216e-05
5.5216216e-05,3.8530605e-05
3.8530605e-05,3.9559316e-05
3.9559316e-05,3.230461e-05
3.230461e-05,2.3779912e-05
2.3779912e-05,2.2236329e-05
2.2236329e-05,2.568087e-05
2.568087e-05,2.2591601500000003e-05
2.2591601500000003e-05,1.9502333e-05
1.9502333e-05,4.603163e-05
4.603163e-05,3.4176337e-05
3.4176337e-05,2.9245228e-05
2.9245228e-05,2.6790482e-05
2.6790482e-05,2.8190096e-05
2.8190096e-05,3.1725096e-05
3.1725096e-05,3.065439e-05
3.065439e-05,5.5811226e-05
5.5811226e-05,2.6323172e-05
2.6323172e-05,4.363756e-05
4.363756e-05,3.5741192e-05
3.5741192e-05,5.423517e-05
5.423517e-05,4.5721583e-05
4.5721583e-05,4.0899886e-05
4.0899886e-05,4.0835119e-05
4.0835119e-05,4.0770352e-05
4.0770352e-05,4.0765466e-05
4.0765466e-05,8.0139514e-05
8.0139514e-05,5.316448e-05
5.316448e-05,3.5597284e-05
3.5597284e-05,5.1505947e-05
5.1505947e-05,4.1478314e-05
4.1478314e-05,2.8500572e-05
2.8500572e-05,1.1102757e-05
1.1102757e-05,2.5142966e-05
2.5142966e-05,1.6534523e-05
1.6534523e-05,2.8391734e-05
2.8391734e-05,4.105241e-05
4.105241e-05,2.9154948e-05
2.9154948e-05,2.4290222e-05
2.4290222e-05,2.8348201e-05
2.8348201e-05,3.240618e-05
3.240618e-05,3.753524e-05
3.753524e-05,2.6355681e-05
2.6355681e-05,1.8353556e-05
1.8353556e-05,2.4629291e-05
2.4629291e-05,3.6780984e-05
3.6780984e-05,2.3840033e-05
2.3840033e-05,2.9847815e-05
2.9847815e-05,3.520192e-05
3.520192e-05,2.5946996e-05
2.5946996e-05,1.6321952e-05
1.6321952e-05,3.37605e-05
3.37605e-05,3.3040127e-05
3.3040127e-05,2.3383993e-05
2.3383993e-05,3.0030586e-05
3.0030586e-05,2.871896e-05
2.871896e-05,2.7407334e-05
2.7407334e-05,2.7219778e-05
2.7219778e-05,3.562346e-05
3.562346e-05,2.463332e-05
2.463332e-05,2.61836e-05
2.61836e-05,3.0044037e-05
3.0044037e-05,2.6342108e-05
2.6342108e-05,3.4913555e-05
3.4913555e-05,3.0273413e-05
3.0273413e-05,3.14742e-05
3.14742e-05,3.3738153e-05
3.3738153e-05,3.1621115e-05
3.1621115e-05,4.0278857e-05
4.0278857e-05,4.1277388e-05
4.1277388e-05,3.2475844e-05
3.2475844e-05,2.5264719e-05
2.5264719e-05,1.8053594e-05
1.8053594e-05,1.8090823e-05
1.8090823e-05,4.9271497e-05
4.9271497e-05,3.9944556e-05
3.9944556e-05,2.7058824e-05
2.7058824e-05,3.030263e-05
3.030263e-05,2.5014566e-05
2.5014566e-05,2.805202e-05
2.805202e-05,2.3902176e-05
2.3902176e-05,3.0564996e-05
3.0564996e-05,3.3863944e-05
3.3863944e-05,1.0074308e-05
1.0074308e-05,2.9123019e-05
2.9123019e-05,3.2031185e-05
3.2031185e-05,3.1818916e-05
3.1818916e-05,3.737499e-05
3.737499e-05,4.2931064e-05
4.2931064e-05,3.5179433e-05
3.5179433e-05,6.346935e-05
6.346935e-05,4.749854e-05
4.749854e-05,3.766527666666667e-05
3.766527666666667e-05,2.7832013333333333e-05
2.7832013333333333e-05,1.799875e-05
1.799875e-05,2.6882504e-05
2.6882504e-05,2.2323002e-05
2.2323002e-05,3.393017e-05
3.393017e-05,5.211821e-05
5.211821e-05,3.0274654e-05
3.0274654e-05,5.7891943e-05
5.7891943e-05,4.841228e-05
4.841228e-05,5.2819365e-05
5.2819365e-05,5.722645e-05
5.722645e-05,6.1633535e-05
6.1633535e-05,6.604062e-05
6.604062e-05,4.662493e-05
4.662493e-05,3.6553916e-05
3.6553916e-05,2.259821e-05
2.259821e-05,3.9485738e-05
3.9485738e-05,6.5921784e-05
6.5921784e-05,3.0985077e-05
3.0985077e-05,2.665019e-05
2.665019e-05,2.756745133333333e-05
2.756745133333333e-05,2.8484712666666668e-05
2.8484712666666668e-05,2.9401974e-05
2.9401974e-05,1.6372067e-05
1.6372067e-05,2.5474963e-05
2.5474963e-05,2.6570638666666663e-05
2.6570638666666663e-05,2.766631433333333e-05
2.766631433333333e-05,2.876199e-05
2.876199e-05,4.9392587e-05
4.9392587e-05,3.5765537e-05
3.5765537e-05,6.010781e-05
6.010781e-05,3.6054425e-05
