time,NO2
2020-06-01,
2020-06-02,
2020-06-03,1.8877201e-05
2020-06-04,2.569413e-05
2020-06-05,2.4837642e-05
2020-06-06,3.7413545e-05
2020-06-07,3.5852983e-05
2020-06-08,3.5867226e-05
2020-06-09,4.9556256e-05
2020-06-10,4.146642e-05
2020-06-11,5.167837e-05
2020-06-12,4.4416836e-05
2020-06-13,5.3612206e-05
2020-06-14,4.50915415e-05
2020-06-15,3.6570877e-05
2020-06-16,1.9686786e-05
2020-06-17,3.1314168e-05
2020-06-18,3.3104858e-05
2020-06-19,2.959444e-05
2020-06-20,3.0843574e-05
2020-06-21,2.9331775e-05
2020-06-22,2.6162203e-05
2020-06-23,2.9408218e-05
2020-06-24,2.4816798e-05
2020-06-25,5.1198433e-05
2020-06-26,4.9148104e-05
2020-06-27,4.8166465e-05
2020-06-28,4.838561e-05
2020-06-29,3.3776836e-05
2020-06-30,3.38531155e-05
2020-07-01,3.3929395e-05
2020-07-02,3.3270655e-05
2020-07-03,2.8560837e-05
2020-07-04,2.7758231e-05
2020-07-05,1.4790267e-05
2020-07-06,1.7322824999999998e-05
2020-07-07,1.9855383e-05
2020-07-08,3.345119e-05
2020-07-09,5.5216216e-05
2020-07-10,3.8530605e-05
2020-07-11,3.9559316e-05
2020-07-12,3.230461e-05
2020-07-13,2.3779912e-05
2020-07-14,2.2236329e-05
2020-07-15,2.568087e-05
2020-07-16,2.2591601500000003e-05
2020-07-17,1.9502333e-05
2020-07-18,4.603163e-05
2020-07-19,3.4176337e-05
2020-07-20,2.9245228e-05
2020-07-21,2.6790482e-05
2020-07-22,2.8190096e-05
2020-07-23,3.1725096e-05
2020-07-24,3.065439e-05
2020-07-25,5.5811226e-05
2020-07-26,2.6323172e-05
2020-07-27,4.363756e-05
2020-07-28,3.5741192e-05
2020-07-29,5.423517e-05
2020-07-30,4.5721583e-05
2020-07-31,4.0899886e-05
2020-08-01,4.0835119e-05
2020-08-02,4.0770352e-05
2020-08-03,4.0765466e-05
2020-08-04,8.0139514e-05
2020-08-05,5.316448e-05
2020-08-06,3.5597284e-05
2020-08-07,5.1505947e-05
2020-08-08,4.1478314e-05
2020-08-09,2.8500572e-05
2020-08-10,1.1102757e-05
2020-08-11,2.5142966e-05
2020-08-12,1.6534523e-05
2020-08-13,2.8391734e-05
2020-08-14,4.105241e-05
2020-08-15,2.9154948e-05
2020-08-16,2.4290222e-05
2020-08-17,2.8348201e-05
2020-08-18,3.240618e-05
2020-08-19,3.753524e-05
2020-08-20,2.6355681e-05
2020-08-21,1.8353556e-05
2020-08-22,2.4629291e-05
2020-08-23,3.6780984e-05
2020-08-24,2.3840033e-05
2020-08-25,2.9847815e-05
2020-08-26,3.520192e-05
2020-08-27,2.5946996e-05
2020-08-28,1.6321952e-05
2020-08-29,3.37605e-05
2020-08-30,3.3040127e-05
2020-08-31,2.3383993e-05
2020-09-01,3.0030586e-05
2020-09-02,2.8718959999999998e-05
2020-09-03,2.7407334e-05
2020-09-04,2.7219778e-05
2020-09-05,3.562346e-05
2020-09-06,2.463332e-05
2020-09-07,2.61836e-05
2020-09-08,3.0044037e-05
2020-09-09,2.6342108e-05
2020-09-10,3.4913555e-05
2020-09-11,3.0273413e-05
2020-09-12,3.14742e-05
2020-09-13,3.3738153e-05
2020-09-14,3.1621115e-05
2020-09-15,4.0278857e-05
2020-09-16,4.1277388e-05
2020-09-17,3.2475844e-05
2020-09-18,2.5264719e-05
2020-09-19,1.8053594e-05
2020-09-20,1.8090823e-05
2020-09-21,4.9271497e-05
2020-09-22,3.9944556e-05
2020-09-23,2.7058824e-05
2020-09-24,3.030263e-05
2020-09-25,2.5014566e-05
2020-09-26,2.805202e-05
2020-09-27,2.3902176e-05
2020-09-28,3.0564996e-05
2020-09-29,3.3863944e-05
2020-09-30,1.0074308e-05
2020-10-01,2.9123019e-05
2020-10-02,3.2031185e-05
2020-10-03,3.1818916e-05
2020-10-04,3.737499e-05
2020-10-05,4.2931064e-05
2020-10-06,3.5179433e-05
2020-10-07,6.346935e-05
2020-10-08,4.749854e-05
2020-10-09,3.766527666666667e-05
2020-10-10,2.7832013333333333e-05
2020-10-11,1.799875e-05
2020-10-12,2.6882504e-05
2020-10-13,2.2323002e-05
2020-10-14,3.393017e-05
2020-10-15,5.211821e-05
2020-10-16,3.0274654e-05
2020-10-17,5.7891943e-05
2020-10-18,4.841228e-05
2020-10-19,5.2819365e-05
2020-10-20,5.722645e-05
2020-10-21,6.1633535e-05
2020-10-22,6.604062e-05
2020-10-23,4.662493e-05
2020-10-24,3.6553916e-05
2020-10-25,2.259821e-05
2020-10-26,3.9485738e-05
2020-10-27,6.5921784e-05
2020-10-28,3.0985077e-05
2020-10-29,2.665019e-05
2020-10-30,2.7567451333333332e-05
2020-10-31,2.8484712666666668e-05
2020-11-01,2.9401974e-05
2020-11-02,1.6372067e-05
2020-11-03,2.5474963e-05
2020-11-04,2.6570638666666666e-05
2020-11-05,2.7666314333333334e-05
2020-11-06,2.876199e-05
2020-11-07,4.9392587e-05
2020-11-08,3.5765537e-05
2020-11-09,6.010781e-05
2020-11-10,3.6054425e-05
2020-11-11,2.5507412e-05
2020-11-12,2.6020887e-05
2020-11-13,2.3510554e-05
2020-11-14,2.755176e-05
2020-11-15,2.1563104e-05
2020-11-16,2.0977275e-05
2020-11-17,3.3101536e-05
2020-11-18,1.8408251e-05
2020-11-19,2.5078043e-05
