time,NO2
2022-06-01,5.6772566e-05
2022-06-02,8.0493315e-05
2022-06-03,4.023615e-05
2022-06-04,3.60828975e-05
2022-06-05,3.1929645e-05
2022-06-06,2.2914533e-05
2022-06-07,2.6153268e-05
2022-06-08,9.801379e-06
2022-06-09,2.836652e-05
2022-06-10,2.1409034e-05
2022-06-11,2.3606253e-05
2022-06-12,2.5605586e-05
2022-06-13,1.8066858066666667e-05
2022-06-14,1.0528130133333334e-05
2022-06-15,2.9894022e-06
2022-06-16,1.8777406e-05
2022-06-17,3.1418756e-05
2022-06-18,7.758358e-05
2022-06-19,2.769629e-05
2022-06-20,3.22784875e-05
2022-06-21,3.6860685e-05
2022-06-22,3.355088e-05
2022-06-23,2.3720959e-05
2022-06-24,4.148085e-05
2022-06-25,3.421727e-05
2022-06-26,1.9037092e-05
2022-06-27,3.4913446e-05
2022-06-28,5.5638633e-05
2022-06-29,0.00010055272
2022-06-30,6.628758e-05
2022-07-01,2.625637e-05
2022-07-02,2.5964166e-05
2022-07-03,3.236919e-05
2022-07-04,1.1613275e-05
2022-07-05,4.200835e-05
2022-07-06,5.14453175e-05
2022-07-07,6.0882285e-05
2022-07-08,6.396951e-05
2022-07-09,3.7608996e-05
2022-07-10,3.0215158e-05
2022-07-11,2.5608018e-05
2022-07-12,2.257012e-05
2022-07-13,1.0068664e-05
2022-07-14,3.124355e-05
2022-07-15,2.8625069e-05
2022-07-16,4.024733e-05
2022-07-17,3.94211015e-05
2022-07-18,3.8594873e-05
2022-07-19,5.4398868e-05
2022-07-20,2.8948494e-05
2022-07-21,4.270361e-05
2022-07-22,4.6682444e-05
2022-07-23,5.0661278e-05
2022-07-24,2.9519804e-05
2022-07-25,3.9458362e-05
2022-07-26,4.7958838e-05
2022-07-27,2.9487504e-05
2022-07-28,3.1332016e-05
2022-07-29,2.8987293e-05
2022-07-30,3.380278e-05
2022-07-31,4.779141e-05
2022-08-01,4.616541e-05
2022-08-02,3.3796427e-05
2022-08-03,2.842176e-05
2022-08-04,5.2713847e-05
2022-08-05,8.4378546e-05
2022-08-06,5.210955e-05
