NO2_lag1,NO2
5.6772566e-05,8.0493315e-05
8.0493315e-05,4.023615e-05
4.023615e-05,3.60828975e-05
3.60828975e-05,3.1929645e-05
3.1929645e-05,2.2914533e-05
2.2914533e-05,2.6153268e-05
2.6153268e-05,9.801379e-06
9.801379e-06,2.836652e-05
2.836652e-05,2.1409034e-05
2.1409034e-05,2.3606253e-05
2.3606253e-05,2.5605586e-05
2.5605586e-05,1.8066858066666667e-05
1.8066858066666667e-05,1.0528130133333334e-05
1.0528130133333334e-05,2.9894022e-06
2.9894022e-06,1.8777406e-05
1.8777406e-05,3.1418756e-05
3.1418756e-05,7.758358e-05
7.758358e-05,2.769629e-05
2.769629e-05,3.22784875e-05
3.22784875e-05,3.6860685e-05
3.6860685e-05,3.355088e-05
3.355088e-05,2.3720959e-05
2.3720959e-05,4.148085e-05
4.148085e-05,3.421727e-05
3.421727e-05,1.9037092e-05
1.9037092e-05,3.4913446e-05
3.4913446e-05,5.5638633e-05
5.5638633e-05,0.00010055272
0.00010055272,6.628758e-05
6.628758e-05,2.625637e-05
2.625637e-05,2.5964166e-05
2.5964166e-05,3.236919e-05
3.236919e-05,1.1613275e-05
1.1613275e-05,4.200835e-05
4.200835e-05,5.14453175e-05
5.14453175e-05,6.0882285e-05
6.0882285e-05,6.396951e-05
6.396951e-05,3.7608996e-05
3.7608996e-05,3.0215158e-05
3.0215158e-05,2.5608018e-05
2.5608018e-05,2.257012e-05
2.257012e-05,1.0068664e-05
1.0068664e-05,3.124355e-05
3.124355e-05,2.8625069e-05
2.8625069e-05,4.024733e-05
4.024733e-05,3.94211015e-05
3.94211015e-05,3.8594873e-05
3.8594873e-05,5.4398868e-05
5.4398868e-05,2.8948494e-05
2.8948494e-05,4.270361e-05
4.270361e-05,4.6682444e-05
4.6682444e-05,5.0661278e-05
5.0661278e-05,2.9519804e-05
2.9519804e-05,3.9458362e-05
3.9458362e-05,4.7958838e-05
4.7958838e-05,2.9487504e-05
2.9487504e-05,3.1332016e-05
3.1332016e-05,2.8987293e-05
2.8987293e-05,3.380278e-05
3.380278e-05,4.779141e-05
4.779141e-05,4.616541e-05
4.616541e-05,3.3796427e-05
3.3796427e-05,2.842176e-05
2.842176e-05,5.2713847e-05
5.2713847e-05,8.4378546e-05
8.4378546e-05,5.210955e-05
5.210955e-05,2.5785073e-05
2.5785073e-05,4.4990964e-05
4.4990964e-05,3.285878e-05
3.285878e-05,3.581216e-05
3.581216e-05,3.1799325e-05
3.1799325e-05,1.224017e-05
1.224017e-05,1.6377046e-05
1.6377046e-05,1.5732134e-05
1.5732134e-05,1.020425e-05
1.020425e-05,4.724025e-05
4.724025e-05,4.0329745e-05
4.0329745e-05,3.9763803e-05
3.9763803e-05,3.245136e-05
3.245136e-05,2.9412573e-05
2.9412573e-05,2.6056665e-05
2.6056665e-05,3.727118e-05
3.727118e-05,2.6194308e-05
2.6194308e-05,3.1290965e-05
3.1290965e-05,3.2304433e-05
3.2304433e-05,3.578853e-05
3.578853e-05,6.8038906e-05
6.8038906e-05,4.614377e-05
4.614377e-05,3.8522954e-05
3.8522954e-05,4.528179e-05
4.528179e-05,2.9756844e-05
2.9756844e-05,3.0947926e-05
3.0947926e-05,2.9251054e-05
2.9251054e-05,3.7543326e-05
3.7543326e-05,2.7530692e-05
2.7530692e-05,8.2260725e-05
8.2260725e-05,1.5723199e-05
1.5723199e-05,2.8664866e-05
2.8664866e-05,6.4686383e-06
6.4686383e-06,1.932968553333333e-05
1.932968553333333e-05,3.219073276666667e-05
3.219073276666667e-05,4.505178e-05
4.505178e-05,3.0286188e-05
3.0286188e-05,6.0089264e-05
6.0089264e-05,3.072869e-05
3.072869e-05,4.1713156e-05
4.1713156e-05,3.1646578e-05
3.1646578e-05,3.1490184e-05
3.1490184e-05,6.5840664e-05
6.5840664e-05,4.0406616e-05
4.0406616e-05,1.6842507e-05
1.6842507e-05,2.85944155e-05
2.85944155e-05,4.0346324e-05
4.0346324e-05,2.3851548e-05
2.3851548e-05,3.15629e-05
3.15629e-05,2.664528e-05
2.664528e-05,4.713654e-05
4.713654e-05,4.36719e-05
4.36719e-05,3.5753954e-05
3.5753954e-05,3.5778015e-05
3.5778015e-05,3.0623805000000004e-05
3.0623805000000004e-05,2.5469595e-05
2.5469595e-05,5.9663682e-05
5.9663682e-05,4.4435455e-05
4.4435455e-05,2.1925502e-05
2.1925502e-05,3.0238815666666667e-05
3.0238815666666667e-05,3.855212933333333e-05
3.855212933333333e-05,4.6865443e-05
4.6865443e-05,3.564599e-05
3.564599e-05,3.9376035e-05
